2022-05-20 15:05:961 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:187 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:431 INFO  HomePage :78 - Enter max Salary 50000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:548 INFO  HomePage :82 - Select Salary Type Per annum from salary type dropdown [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:656 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:837 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:378 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (217d0c8ac47ddd80aae66577d56dc54f)] -> tag name: h1]<br>
2022-05-20 15:05:355 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:16 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:275 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:579 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:983 INFO  HomePage :66 - Select distance up to 5 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:158 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:358 INFO  HomePage :74 - Enter min Salary 30000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:602 INFO  HomePage :78 - Enter max Salary 45000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //input[@id='salarymax']]<br>
2022-05-20 15:05:678 INFO  HomePage :82 - Select Salary Type Per month from salary type dropdown [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //select[@id='salarytype']]<br>
2022-05-20 15:05:826 INFO  HomePage :86 - Select Job Type Permanent from job type dropdown [[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> xpath: //select[@id='tempperm']]<br>
2022-05-20 15:05:993 INFO  HomePage :54 - Click on find job button : 
2022-05-20 15:05:679 INFO  ResultPage :26 - Get text of find job result[[ChromeDriver: chrome on WINDOWS (29875b4da731b3ee436672aa6601d406)] -> tag name: h1]<br>
2022-05-20 15:05:881 INFO  ManageDriver :31 - Launching Chrome Browser
2022-05-20 15:05:642 INFO  HomePage :49 - Click on accept cookies : [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //iframe[@id='gdpr-consent-notice']]Proxy element for: DefaultElementLocator 'By.xpath: //button[@id='save']'
2022-05-20 15:05:888 INFO  HomePage :58 - Enter job title into the tab: 
2022-05-20 15:05:997 INFO  HomePage :62 - Enter your location into the tab : 
2022-05-20 15:05:118 INFO  HomePage :66 - Select distance up to 25 miles from distsance dropdown [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //select[@id='distance']]<br>
2022-05-20 15:05:227 INFO  HomePage :70 - Click on more search option [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //button[@id='toggle-hp-search']]<br>
2022-05-20 15:05:415 INFO  HomePage :74 - Enter min Salary 45000 to minimum salary field [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //input[@id='salarymin']]<br>
2022-05-20 15:05:474 INFO  HomePage :78 - Enter max Salary 70000 to maximum salary field [[ChromeDriver: chrome on WINDOWS (667c52f585c1efc008a6c5efa05ce70d)] -> xpath: //input[@id='salarymax']]<br>
